measurement_id,discharge_m3_s,discharge_l_s,area_km2,discharge_per_area_l_s_km2,urban_km2,forest_km2,agriculture_total_km2,cropland_km2,meadow_km2,is_gauge_reference,elevation_measurement_m,elevation_max_m,elevation_diff_m,geology,elevation_mean_m,relief_ratio,precipitation_mm,urban_pct,forest_pct,cropland_pct,meadow_pct,recharge_mm_per_year,geo_buntsandstein,geo_diorite_schiefer,geo_crystalline_granite
1,0.33,329.84,43.79,7.53,5.52,19.69,18.58,10.42,8.16,False,179.83,550,370.17,crystalline_granite,364.915,0.05593887737367368,928.4235000000001,12.60561772094085,44.964603790819815,23.79538707467458,18.63439141356474,237.62872800000002,0,0,1
2,0.01,10.6,3.31,3.2,0.17,1.65,1.5,0.67,0.83,False,180.04,527,346.96,crystalline_granite,353.52,0.19070646335707434,918.168,5.120481927710844,49.6987951807229,20.180722891566266,25.0,100.98432000000001,0,0,1
3,0.42,415.66,40.6,10.24,5.34,18.2,17.05,9.73,7.32,False,179.68,550,370.32,crystalline_granite,364.84000000000003,0.05811846708877281,928.356,13.155949741315595,44.83863020448386,23.971421532397144,18.0339985218034,323.149824,0,0,1
4,0.04,36.5,3.85,9.49,0.17,2.58,1.1,0.63,0.46,False,227.04,499,271.96,crystalline_granite,363.02,0.13860365018337664,926.7180000000001,4.427083333333334,67.1875,16.40625,11.979166666666668,299.481624,0,0,1
5,0.09,94.52,16.16,5.85,1.77,8.06,6.33,4.43,1.9,False,191.11,475,283.89,crystalline_granite,333.055,0.07062027698217846,899.7495,10.952970297029703,49.87623762376238,27.41336633663366,11.757425742574256,184.61195999999998,0,0,1
6,0.0,4.4,1.98,2.22,0.53,0.75,0.7,0.61,0.09,False,191.69,433,241.31,crystalline_granite,312.345,0.17149154954590787,881.1105,26.767676767676768,37.878787878787875,30.808080808080806,4.545454545454545,70.057872,0,0,1
7,0.08,81.12,14.17,5.72,1.23,7.31,5.63,3.82,1.81,False,191.88,475,283.12,crystalline_granite,333.44,0.07521173799890418,900.096,8.6803105151729,51.5878616796048,26.958362738179254,12.77346506704305,180.509472,0,0,1
8,0.05,45.36,8.1,5.6,0.4,5.05,2.65,1.49,1.16,False,200.78,472,271.22,crystalline_granite,336.39,0.09529699411009643,902.751,4.938271604938272,62.34567901234568,18.395061728395063,14.320987654320987,176.72256,0,0,1
9,0.03,28.39,5.75,4.94,0.59,2.26,2.91,2.27,0.64,False,197.82,472,274.18,crystalline_granite,334.90999999999997,0.11434096409233752,901.419,10.243055555555557,39.236111111111114,39.40972222222223,11.111111111111112,155.89454400000002,0,0,1
10,0.01,9.86,1.71,5.75,0.03,1.19,0.5,0.2,0.3,False,235.6,480,244.4,crystalline_granite,357.8,0.18689735119321765,922.02,1.744186046511628,69.18604651162791,11.627906976744187,17.441860465116278,181.4562,0,0,1
11,0.03,32.04,7.02,4.57,0.18,5.03,1.8,0.87,0.93,False,235.96,480,244.04,crystalline_granite,357.98,0.09210696247088238,922.182,2.5677603423680457,71.7546362339515,12.410841654778888,13.266761768901569,144.218232,0,0,1
12,0.02,21.66,5.3,4.09,0.16,3.84,1.3,0.67,0.63,False,235.92,504,268.08,crystalline_granite,369.96,0.11644651083992362,932.9639999999999,3.018867924528302,72.45283018867924,12.641509433962264,11.88679245283019,129.070584,0,0,1
13,0.02,15.2,3.78,4.03,0.11,2.82,0.85,0.54,0.31,False,324.11,505,180.89,buntsandstein,414.555,0.09303977658214267,973.0995,2.9100529100529102,74.60317460317461,14.285714285714288,8.201058201058203,127.17712800000001,1,0,0
14,0.0,1.12,0.77,1.46,0.01,0.67,0.09,0.05,0.04,False,328.39,470,141.61,buntsandstein,399.195,0.16137957232449332,959.2755,1.2987012987012985,87.01298701298701,6.493506493506493,5.194805194805194,46.074096,1,0,0
15,0.01,8.66,2.77,3.12,0.06,1.76,0.95,0.69,0.26,False,215.81,480,264.19,crystalline_granite,347.905,0.1587363867212369,913.1144999999999,2.1660649819494586,63.53790613718413,24.909747292418775,9.386281588447655,98.45971200000001,0,0,1
16,0.01,12.82,3.51,3.66,0.37,1.76,1.38,1.04,0.33,False,206.42,480,273.58,crystalline_granite,343.21,0.1460262010599858,908.889,10.571428571428571,50.28571428571429,29.714285714285715,9.428571428571429,115.500816,0,0,1
17,0.02,18.16,1.85,9.8,0.09,0.5,1.27,0.96,0.31,False,205.79,360,154.21,crystalline_granite,282.895,0.11337744687308611,854.6055,4.838709677419355,26.88172043010753,51.61290322580645,16.666666666666668,309.26448000000005,0,0,1
18,0.0,3.66,0.5,7.33,0.04,0.26,0.2,0.15,0.05,False,222.14,360,137.86,crystalline_granite,291.07,0.19496348170875488,861.963,8.000000000000002,52.000000000000014,30.000000000000004,10.000000000000002,231.317208,0,0,1
19,0.01,6.62,0.28,24.01,0.04,0.12,0.12,0.12,0.0,False,220.31,345,124.69,crystalline_granite,282.655,0.2356419506976027,854.3895,14.285714285714285,42.85714285714285,42.85714285714285,0.0,757.697976,0,0,1
20,0.01,7.58,0.25,30.24,0.08,0.14,0.03,0.0,0.03,False,283.3,456,172.7,crystalline_granite,369.65,0.3454,932.685,32.0,56.00000000000001,0.0,12.0,954.301824,0,0,1
